Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_Group,Total_Engagement,Hashtag_List,Hashtag_Count,Word_Count,Character_Count,Continent
Quiet evening with a good book.,Positive,2023-01-23 19:45:00,BookLover,Instagram,#Reading #QuietTime,15.0,30.0,Australia,2023,1,23,19,Happiness & Joy,45.0,"['#reading', '#quiettime']",2,6,31,Oceania
Reflecting on the importance of mental health.,Positive,2023-01-24 11:30:00,MentalHealthMatters,Twitter,#MentalHealth #SelfCare,22.0,45.0,USA,2023,1,24,11,Happiness & Joy,67.0,"['#mentalhealth', '#selfcare']",2,7,46,North America
New painting in progress! 🎨,Positive,2023-01-24 15:00:00,ArtistInAction,Facebook,#Art #PaintingInProgress,12.0,25.0,Canada,2023,1,24,15,Happiness & Joy,37.0,"['#art', '#paintinginprogress']",2,5,27,North America
Weekend road trip to explore scenic views.,Positive,2023-01-24 17:30:00,RoadTripper,Instagram,#RoadTrip #ScenicViews,18.0,35.0,UK,2023,1,24,17,Happiness & Joy,53.0,"['#roadtrip', '#scenicviews']",2,7,42,Europe
Enjoying a cup of tea and watching the sunset.,Positive,2023-01-25 18:00:00,SunsetWatcher,Twitter,#TeaTime #Sunset,15.0,30.0,India,2023,1,25,18,Happiness & Joy,45.0,"['#teatime', '#sunset']",2,9,46,Asia
Coding a new project with enthusiasm.,Positive,2023-01-25 13:15:00,CodeEnthusiast,Facebook,#Coding #Enthusiasm,30.0,60.0,USA,2023,1,25,13,Happiness & Joy,90.0,"['#coding', '#enthusiasm']",2,6,37,North America
Feeling inspired after attending a workshop.,Positive,2023-01-26 09:45:00,WorkshopAttendee,Instagram,#Inspiration #Workshop,25.0,50.0,USA,2023,1,26,9,Happiness & Joy,75.0,"['#inspiration', '#workshop']",2,6,44,North America
Winter sports day at the local park.,Positive,2023-01-26 14:20:00,WinterSports,Twitter,#WinterSports #Fun,15.0,30.0,Canada,2023,1,26,14,Happiness & Joy,45.0,"['#wintersports', '#fun']",2,7,36,North America
Quality time with family this weekend.,Positive,2023-01-26 17:40:00,FamilyTime,Facebook,#FamilyTime #Weekend,22.0,45.0,UK,2023,1,26,17,Happiness & Joy,67.0,"['#familytime', '#weekend']",2,6,38,Europe
Attending a live music concert tonight.,Positive,2023-01-27 20:00:00,MusicLover,Instagram,#Music #ConcertNight,18.0,35.0,USA,2023,1,27,20,Happiness & Joy,53.0,"['#music', '#concertnight']",2,6,39,North America
Practicing mindfulness with meditation.,Positive,2023-01-27 12:30:00,MindfulMoments,Twitter,#Mindfulness #Meditation,15.0,30.0,India,2023,1,27,12,Happiness & Joy,45.0,"['#mindfulness', '#meditation']",2,4,39,Asia
Trying out a new dessert recipe.,Positive,2023-01-27 16:10:00,DessertExplorer,Facebook,#Dessert #Cooking,12.0,25.0,Canada,2023,1,27,16,Happiness & Joy,37.0,"['#dessert', '#cooking']",2,6,32,North America
Excited about the upcoming gaming tournament.,Positive,2023-01-28 09:00:00,GamingEnthusiast,Instagram,#Gaming #Tournament,30.0,60.0,USA,2023,1,28,9,Happiness & Joy,90.0,"['#gaming', '#tournament']",2,6,45,North America
Planning a garden makeover for spring.,Positive,2023-01-28 14:45:00,GardenPlanner,Twitter,#Gardening #Spring,25.0,50.0,USA,2023,1,28,14,Happiness & Joy,75.0,"['#gardening', '#spring']",2,6,38,North America
Celebrating a friend's birthday tonight! 🎂,Positive,2023-01-28 19:30:00,BirthdayBash,Facebook,#Birthday #Celebration,15.0,30.0,UK,2023,1,28,19,Happiness & Joy,45.0,"['#birthday', '#celebration']",2,6,42,Europe
Feeling accomplished after a productive day.,Positive,2023-01-29 17:00:00,ProductivityWin,Instagram,#Accomplished #Success,22.0,45.0,India,2023,1,29,17,Happiness & Joy,67.0,"['#accomplished', '#success']",2,6,44,Asia
A cozy evening with a good movie.,Positive,2023-01-29 20:20:00,MovieNight,Twitter,#CozyNight #MovieTime,18.0,35.0,Canada,2023,1,29,20,Happiness & Joy,53.0,"['#cozynight', '#movietime']",2,7,33,North America
Exploring local art galleries this weekend.,Positive,2023-01-30 11:30:00,ArtExplorer,Facebook,#Art #GalleryExplore,15.0,30.0,USA,2023,1,30,11,Happiness & Joy,45.0,"['#art', '#galleryexplore']",2,6,43,North America
New book release from my favorite author!,Positive,2023-01-30 15:45:00,BookwormX,Instagram,#BookRelease #FavoriteAuthor,12.0,25.0,UK,2023,1,30,15,Happiness & Joy,37.0,"['#bookrelease', '#favoriteauthor']",2,7,41,Europe
Attending a virtual reality meetup.,Positive,2023-01-30 18:30:00,VRMeetup,Twitter,#VRMeetup #VirtualReality,28.0,55.0,India,2023,1,30,18,Happiness & Joy,83.0,"['#vrmeetup', '#virtualreality']",2,5,35,Asia
Reflecting on the beauty of nature.,Positive,2023-01-31 10:45:00,NatureLover,Facebook,#Nature #Reflection,15.0,30.0,Australia,2023,1,31,10,Happiness & Joy,45.0,"['#nature', '#reflection']",2,6,35,Oceania
Cooking a special dinner for loved ones.,Positive,2023-01-31 19:00:00,ChefAtHome,Instagram,#Cooking #SpecialDinner,20.0,40.0,USA,2023,1,31,19,Happiness & Joy,60.0,"['#cooking', '#specialdinner']",2,7,40,North America
Feeling optimistic about the week ahead.,Positive,2023-01-31 16:20:00,OptimisticMindset,Twitter,#Optimism #NewWeek,15.0,30.0,Canada,2023,1,31,16,Happiness & Joy,45.0,"['#optimism', '#newweek']",2,6,40,North America
Starting a new fitness challenge tomorrow! 💪,Positive,2023-02-01 08:00:00,FitnessChallenge,Facebook,#FitnessChallenge #NewBeginnings,22.0,45.0,UK,2023,2,1,8,Happiness & Joy,67.0,"['#fitnesschallenge', '#newbeginnings']",2,7,44,Europe
Sunday bike ride through scenic trails.,Positive,2023-02-01 13:30:00,BikeExplorer,Instagram,#BikeRide #ScenicTrails,18.0,35.0,USA,2023,2,1,13,Happiness & Joy,53.0,"['#bikeride', '#scenictrails']",2,6,39,North America
Can't believe the injustice happening in our society.,Anger,2023-02-11 09:30:00,SocialJustice,Twitter,#Injustice #Angry,20.0,40.0,Canada,2023,2,11,9,Anger & Resentment,60.0,"['#injustice', '#angry']",2,8,53,North America
Feeling a sense of fear after watching a thriller movie.,Fear,2023-02-11 21:15:00,ThrillerFan,Instagram,#Fear #ThrillerMovie,15.0,30.0,USA,2023,2,11,21,Fear & Anxiety,45.0,"['#fear', '#thrillermovie']",2,10,56,North America
Heartbroken after hearing the news about a natural disaster.,Sadness,2023-02-12 14:45:00,EmpathyFirst,Facebook,#Sadness #NaturalDisaster,25.0,50.0,India,2023,2,12,14,Sadness & Loss,75.0,"['#sadness', '#naturaldisaster']",2,9,60,Asia
The state of the world's environment is just disgusting.,Disgust,2023-02-12 18:20:00,EcoAwareness,Twitter,#Disgust #Environment,18.0,35.0,UK,2023,2,12,18,Anger & Resentment,53.0,"['#disgust', '#environment']",2,9,56,Europe
Pure happiness: celebrating a loved one's achievement!,Happiness,2023-02-13 10:00:00,ProudFriend,Instagram,#Happiness #Celebration,30.0,60.0,USA,2023,2,13,10,Happiness & Joy,90.0,"['#happiness', '#celebration']",2,7,54,North America
Laughter is the best medicine—enjoying a comedy show.,Joy,2023-02-13 19:30:00,ComedyFan,Facebook,#Joy #ComedyShow,22.0,45.0,Canada,2023,2,13,19,Happiness & Joy,67.0,"['#joy', '#comedyshow']",2,8,53,North America
Sharing love and positive vibes with everyone! ❤️,Love,2023-02-14 08:30:00,LoveSpreader,Twitter,#Love #SpreadLove,15.0,30.0,Australia,2023,2,14,8,Love & Affection,45.0,"['#love', '#spreadlove']",2,8,49,Oceania
An amusing incident brightened up my day!,Amusement,2023-02-14 14:20:00,AmusedSoul,Instagram,#Amusement #FunTimes,18.0,35.0,UK,2023,2,14,14,Happiness & Joy,53.0,"['#amusement', '#funtimes']",2,7,41,Europe
Enjoying a quiet evening with a book and some tea.,Enjoyment,2023-02-14 19:45:00,BookLoverAgain,Facebook,#Enjoyment #BookTime,25.0,50.0,Canada,2023,2,14,19,Happiness & Joy,75.0,"['#enjoyment', '#booktime']",2,10,50,North America
Admiring the beauty of nature during a peaceful hike.,Admiration,2023-02-15 11:30:00,NatureAdmirer,Twitter,#Admiration #Nature,20.0,40.0,USA,2023,2,15,11,Admiration & Awe,60.0,"['#admiration', '#nature']",2,9,53,North America
Sending affectionate vibes to all my followers!,Affection,2023-02-15 16:00:00,AffectionSender,Instagram,#Affection #PositiveVibes,15.0,30.0,USA,2023,2,15,16,Love & Affection,45.0,"['#affection', '#positivevibes']",2,7,47,North America
Experiencing awe at the breathtaking sunset.,Awe,2023-02-15 20:30:00,AweStruck,Facebook,#Awe #Breathtaking,22.0,45.0,Australia,2023,2,15,20,Admiration & Awe,67.0,"['#awe', '#breathtaking']",2,6,44,Oceania
Disappointed with the service at a local restaurant.,Disappointed,2023-02-16 09:00:00,FoodieGoneWrong,Twitter,#Disappointed #BadService,18.0,35.0,India,2023,2,16,9,Disappointment & Regret,53.0,"['#disappointed', '#badservice']",2,8,52,Asia
A surprise gift from a friend made my day!,Surprise,2023-02-16 14:45:00,HappySurprise,Instagram,#Surprise #Gift,25.0,50.0,USA,2023,2,16,14,Surprise & Wonder,75.0,"['#surprise', '#gift']",2,9,42,North America
Finding acceptance in the midst of life's challenges.,Acceptance,2023-02-16 18:20:00,AcceptanceSeeker,Facebook,#Acceptance #Challenges,15.0,30.0,Canada,2023,2,16,18,Hope & Optimism,45.0,"['#acceptance', '#challenges']",2,8,53,North America
Overflowing with adoration for my adorable pet! 🐾,Adoration,2023-02-17 10:45:00,PetAdorer,Twitter,#Adoration #PetLove,22.0,45.0,UK,2023,2,17,10,Love & Affection,67.0,"['#adoration', '#petlove']",2,8,49,Europe
Anticipating a thrilling adventure in the coming weeks.,Anticipation,2023-02-17 07:30:00,AdventureAwaits,Instagram,#Anticipation #Adventure,20.0,40.0,USA,2023,2,17,7,Hope & Optimism,60.0,"['#anticipation', '#adventure']",2,8,55,North America
A bitter experience turned into a valuable lesson.,Bitter,2023-02-17 15:00:00,LearnFromBitter,Facebook,#BitterLesson #Growth,18.0,35.0,USA,2023,2,17,15,Anger & Resentment,53.0,"['#bitterlesson', '#growth']",2,8,50,North America
Finding calmness in the midst of a busy day.,Calmness,2023-02-18 09:30:00,ZenMaster,Twitter,#Calmness #PeacefulMind,15.0,30.0,India,2023,2,18,9,Calm & Peace,45.0,"['#calmness', '#peacefulmind']",2,9,44,Asia
Confusion clouds my mind as I navigate through decisions.,Confusion,2023-02-18 14:20:00,ConfusedMind,Instagram,#Confusion #DecisionMaking,25.0,50.0,UK,2023,2,18,14,Curiosity & Reflection,75.0,"['#confusion', '#decisionmaking']",2,9,57,Europe
Excitement building up for the upcoming vacation!,Excitement,2023-02-18 18:45:00,VacationDreamer,Facebook,#Excitement #TravelPlans,22.0,45.0,Canada,2023,2,18,18,Happiness & Joy,67.0,"['#excitement', '#travelplans']",2,7,49,North America
Kindness witnessed today restored my faith in humanity.,Kind,2023-02-19 11:30:00,KindnessPrevails,Twitter,#Kindness #Humanity,20.0,40.0,USA,2023,2,19,11,Love & Affection,60.0,"['#kindness', '#humanity']",2,8,55,North America
Pride in achieving a personal milestone.,Pride,2023-02-19 16:00:00,PersonalAchiever,Instagram,#Pride #Milestone,30.0,60.0,Australia,2023,2,19,16,Confidence & Achievement,90.0,"['#pride', '#milestone']",2,6,40,Oceania
A moment of shame for not standing up against injustice.,Shame,2023-02-19 19:45:00,ReflectiveSelf,Facebook,#Shame #Injustice,15.0,30.0,India,2023,2,19,19,Shame & Embarrassment,45.0,"['#shame', '#injustice']",2,10,56,Asia
Fuming with anger after a heated argument.,Anger,2023-02-20 09:30:00,AngryDebater,Twitter,#Anger #Argument,20.0,40.0,Canada,2023,2,20,9,Anger & Resentment,60.0,"['#anger', '#argument']",2,7,42,North America
The fear of the unknown is keeping me up at night.,Fear,2023-02-20 21:15:00,FearfulDreamer,Instagram,#Fear #Unknown,15.0,30.0,USA,2023,2,20,21,Fear & Anxiety,45.0,"['#fear', '#unknown']",2,11,50,North America
Heartfelt sadness after bidding farewell to a dear friend.,Sadness,2023-02-21 14:45:00,FarewellHeart,Facebook,#Sadness #Farewell,25.0,50.0,India,2023,2,21,14,Sadness & Loss,75.0,"['#sadness', '#farewell']",2,9,58,Asia
The state of corruption in our society is utterly disgusting.,Disgust,2023-02-21 18:20:00,AntiCorruption,Twitter,#Disgust #Corruption,18.0,35.0,UK,2023,2,21,18,Anger & Resentment,53.0,"['#disgust', '#corruption']",2,10,61,Europe
Overflowing happiness: welcoming a new family member!,Happiness,2023-02-22 10:00:00,NewParentJoy,Instagram,#Happiness #NewFamilyMember,30.0,60.0,UK,2023,2,22,10,Happiness & Joy,90.0,"['#happiness', '#newfamilymember']",2,7,53,Europe
Laughter is the key to joy—attending a stand-up comedy show.,Joy,2023-02-22 19:30:00,StandUpFan,Facebook,#Joy #StandUpComedy,22.0,45.0,Canada,2023,2,22,19,Happiness & Joy,67.0,"['#joy', '#standupcomedy']",2,10,60,North America
Sending love to all my followers on this beautiful day! ❤️,Love,2023-02-23 08:30:00,LoveSender,Twitter,#Love #SpreadLove,15.0,30.0,Australia,2023,2,23,8,Love & Affection,45.0,"['#love', '#spreadlove']",2,11,58,Oceania
Amused by the antics of my pet—it's pure amusement!,Amusement,2023-02-23 14:20:00,PetAmuser,Instagram,#Amusement #PetAntics,18.0,35.0,UK,2023,2,23,14,Happiness & Joy,53.0,"['#amusement', '#petantics']",2,9,51,Europe
Enjoying every moment of this trip—pure enjoyment!,Enjoyment,2023-02-23 19:45:00,TravelExplorer,Facebook,#Enjoyment #Travel,25.0,50.0,USA,2023,2,23,19,Happiness & Joy,75.0,"['#enjoyment', '#travel']",2,7,50,North America
Admiring the dedication of volunteers at a local charity.,Admiration,2023-02-24 11:30:00,CharityAdmirer,Twitter,#Admiration #Volunteers,20.0,40.0,USA,2023,2,24,11,Admiration & Awe,60.0,"['#admiration', '#volunteers']",2,9,57,North America
Sending affectionate vibes to friends and family.,Affection,2023-02-24 16:00:00,FamilyLover,Instagram,#Affection #FamilyLove,15.0,30.0,USA,2023,2,24,16,Love & Affection,45.0,"['#affection', '#familylove']",2,7,49,North America
Awe-struck by the beauty of the night sky.,Awe,2023-02-24 20:30:00,Stargazer,Facebook,#Awe #StarryNight,22.0,45.0,Australia,2023,2,24,20,Admiration & Awe,67.0,"['#awe', '#starrynight']",2,8,42,Oceania
Disappointed with the lack of progress in a personal project.,Disappointed,2023-02-25 09:00:00,ProjectStruggle,Twitter,#Disappointed #Project,18.0,35.0,India,2023,2,25,9,Disappointment & Regret,53.0,"['#disappointed', '#project']",2,10,61,Asia
A surprise visit from an old friend brought tears of joy.,Surprise,2023-02-25 14:45:00,JoyfulReunion,Instagram,#Surprise #OldFriends,25.0,50.0,USA,2023,2,25,14,Surprise & Wonder,75.0,"['#surprise', '#oldfriends']",2,11,57,North America
Embracing acceptance of life's ups and downs.,Acceptance,2023-02-25 18:20:00,LifeAcceptance,Facebook,#Acceptance #LifeJourney,15.0,30.0,Canada,2023,2,25,18,Hope & Optimism,45.0,"['#acceptance', '#lifejourney']",2,7,45,North America
Overflowing adoration for a cute rescue puppy! 🐶,Adoration,2023-02-26 10:45:00,PuppyAdmirer,Twitter,#Adoration #PuppyLove,22.0,45.0,UK,2023,2,26,10,Love & Affection,67.0,"['#adoration', '#puppylove']",2,8,48,Europe
Anticipating the release of a much-awaited movie.,Anticipation,2023-02-26 07:30:00,MovieBuff2,Instagram,#Anticipation #MovieRelease,20.0,40.0,Australia,2023,2,26,7,Hope & Optimism,60.0,"['#anticipation', '#movierelease']",2,7,49,Oceania
Bitter experience at the customer service department.,Bitter,2023-02-26 15:00:00,CustomerWoes,Facebook,#BitterExperience #CustomerService,18.0,35.0,USA,2023,2,26,15,Anger & Resentment,53.0,"['#bitterexperience', '#customerservice']",2,7,53,North America
Finding calmness amidst the chaos of daily life.,Calmness,2023-02-27 09:30:00,CalmSoul,Twitter,#Calmness #InnerPeace,15.0,30.0,India,2023,2,27,9,Calm & Peace,45.0,"['#calmness', '#innerpeace']",2,8,48,Asia
Confusion reigns as I try to make sense of recent events.,Confusion,2023-02-27 14:20:00,ConfusedMind2,Instagram,#Confusion #MakingSense,25.0,50.0,UK,2023,2,27,14,Curiosity & Reflection,75.0,"['#confusion', '#makingsense']",2,11,57,Europe
Excitement building up for a surprise birthday party.,Excitement,2023-02-27 18:45:00,BirthdayExcite,Facebook,#Excitement #SurpriseParty,22.0,45.0,Canada,2023,2,27,18,Happiness & Joy,67.0,"['#excitement', '#surpriseparty']",2,8,53,North America
Witnessed an act of kindness that made my day.,Kind,2023-02-28 11:30:00,KindnessObserver,Twitter,#Kindness #ActsOfKindness,20.0,40.0,USA,2023,2,28,11,Love & Affection,60.0,"['#kindness', '#actsofkindness']",2,9,46,North America
Pride in completing a challenging fitness challenge.,Pride,2023-02-28 16:00:00,FitAchiever,Instagram,#Pride #FitnessChallengeCompleted,30.0,60.0,UK,2023,2,28,16,Confidence & Achievement,90.0,"['#pride', '#fitnesschallengecompleted']",2,7,52,Europe
A moment of shame for not speaking up against injustice.,Shame,2023-02-28 19:45:00,ReflectiveSelf2,Facebook,#Shame #Injustice,15.0,30.0,India,2023,2,28,19,Shame & Embarrassment,45.0,"['#shame', '#injustice']",2,10,56,Asia
Reflecting on the beauty of diversity in our world.,Acceptance,2023-03-01 10:45:00,DiversityLover,Twitter,#Acceptance #Diversity,22.0,45.0,Australia,2023,3,1,10,Hope & Optimism,67.0,"['#acceptance', '#diversity']",2,9,51,Oceania
Excitement for a quiet evening with a good book.,Excitement,2023-03-01 13:30:00,BookwormJoy,Instagram,#Excitement #BookTime,18.0,35.0,USA,2023,3,1,13,Happiness & Joy,53.0,"['#excitement', '#booktime']",2,9,48,North America
Feeling bitter about the unfairness in the workplace.,Bitter,2023-03-01 17:45:00,WorkplaceWoes,Twitter,#Bitter #Unfairness,15.0,30.0,Canada,2023,3,1,17,Anger & Resentment,45.0,"['#bitter', '#unfairness']",2,8,53,North America
Calmness prevails as I practice mindfulness.,Calmness,2023-03-02 18:00:00,MindfulMe,Facebook,#Calmness #Mindfulness,15.0,30.0,UK,2023,3,2,18,Calm & Peace,45.0,"['#calmness', '#mindfulness']",2,6,44,Europe
Confusion surrounds me as I navigate through life's choices.,Confusion,2023-03-02 13:15:00,ConfusedMind3,Instagram,#Confusion #LifeChoices,30.0,60.0,USA,2023,3,2,13,Curiosity & Reflection,90.0,"['#confusion', '#lifechoices']",2,9,60,North America
Excitement for a weekend road trip to explore new places.,Excitement,2023-03-02 16:45:00,RoadTripper2,Twitter,#Excitement #WeekendAdventure,25.0,50.0,India,2023,3,2,16,Happiness & Joy,75.0,"['#excitement', '#weekendadventure']",2,10,57,Asia
Kindness witnessed today restores my faith in humanity.,Kind,2023-03-03 11:30:00,KindnessPrevails2,Facebook,#Kindness #HumanityRestored,22.0,45.0,USA,2023,3,3,11,Love & Affection,67.0,"['#kindness', '#humanityrestored']",2,8,55,North America
Pride in accomplishing personal and professional goals.,Pride,2023-03-03 14:30:00,GoalAchiever,Instagram,#Pride #Accomplishments,12.0,25.0,Canada,2023,3,3,14,Confidence & Achievement,37.0,"['#pride', '#accomplishments']",2,7,55,North America
Shame for not being true to my values in a difficult situation.,Shame,2023-03-03 12:00:00,ReflectiveSelf3,Twitter,#Shame #Integrity,15.0,30.0,UK,2023,3,3,12,Shame & Embarrassment,45.0,"['#shame', '#integrity']",2,12,63,Europe
"Revisiting old memories, feeling a sense of elation.",Elation,2010-05-15 15:30:00,NostalgiaFan,Twitter,#Elation #Memories,20.0,40.0,Canada,2010,5,15,15,Happiness & Joy,60.0,"['#elation', '#memories']",2,8,52,North America
The victory of our team brought euphoria to the city.,Euphoria,2021-08-10 21:15:00,SportsFanatic,Instagram,#Euphoria #Victory,15.0,30.0,USA,2021,8,10,21,Happiness & Joy,45.0,"['#euphoria', '#victory']",2,10,53,North America
"Embracing the beauty of nature, a moment of contentment.",Contentment,2011-06-20 14:45:00,NatureLover2,Facebook,#Contentment #Nature,25.0,50.0,India,2011,6,20,14,Calm & Peace,75.0,"['#contentment', '#nature']",2,9,56,Asia
"Meditating by the serene lake, finding inner peace.",Serenity,2022-02-12 18:20:00,ZenMaster2,Twitter,#Serenity #Meditation,18.0,35.0,UK,2022,2,12,18,Calm & Peace,53.0,"['#serenity', '#meditation']",2,8,51,Europe
Overflowing with gratitude for life's blessings.,Gratitude,2012-11-25 10:00:00,ThankfulHeart,Instagram,#Gratitude #Blessed,30.0,60.0,Australia,2012,11,25,10,Hope & Optimism,90.0,"['#gratitude', '#blessed']",2,6,48,Oceania
"Hopeful for a brighter tomorrow, despite challenges.",Hope,2013-04-05 19:30:00,OptimisticSoul,Facebook,#Hope #Optimism,22.0,45.0,USA,2013,4,5,19,Hope & Optimism,67.0,"['#hope', '#optimism']",2,7,52,North America
Empowered to make a difference in my community.,Empowerment,2014-09-14 08:30:00,CommunityLeader,Twitter,#Empowerment #Community,15.0,30.0,UK,2014,9,14,8,Confidence & Achievement,45.0,"['#empowerment', '#community']",2,8,47,Europe
Compassion in action: supporting a local charity event.,Compassion,2015-07-18 14:20:00,CharitySupporter,Instagram,#Compassion #CharityEvent,18.0,35.0,Canada,2015,7,18,14,Love & Affection,53.0,"['#compassion', '#charityevent']",2,8,55,North America
